Complexity,Loss,Equation
1,1175.3121,"34.46533"
3,566.73517,"wtd_std_ThermalConductivity * 0.36691603"
5,564.1642,"-2.9055035 - (wtd_std_ThermalConductivity * -0.3878946)"
6,486.5737,"sin(wtd_entropy_Valence / 3.352246) * wtd_std_ThermalConductivity"
7,440.55746,"wtd_std_ThermalConductivity * (wtd_entropy_Valence / (wtd_mean_Valence + entropy_ElectronAffinity))"
8,439.94778,"wtd_std_ThermalConductivity * sin(wtd_entropy_atomic_radius / (wtd_mean_Valence + entropy_ElectronAffinity))"
11,437.64883,"((wtd_entropy_Valence / (mean_Valence + (wtd_mean_Valence + -1.2231901))) * wtd_std_ThermalConductivity) - -1.1604751"
13,425.13864,"wtd_entropy_Valence * (((wtd_std_ThermalConductivity + std_atomic_mass) + 13.484468) / ((wtd_mean_Valence + -0.6115409) * 2.8218906))"
16,410.5998,"((wtd_entropy_Valence * (wtd_std_ThermalConductivity + (std_atomic_mass + wtd_entropy_Valence))) / ((wtd_mean_Valence + -0.6115409) * 2.8218906)) + cos(std_atomic_mass)"
17,410.58145,"(((wtd_entropy_Valence * (wtd_std_ThermalConductivity + std_atomic_mass)) + cos(wtd_range_atomic_radius)) / ((wtd_mean_Valence + -0.6115409) * 2.8218906)) + cos(std_atomic_mass)"
18,410.27194,"(((wtd_entropy_Valence * (wtd_std_ThermalConductivity + std_atomic_mass)) + (0.5779136 + -0.03017113)) / ((wtd_mean_Valence + -0.6115409) * 2.8218906)) + cos(std_atomic_mass)"
24,404.58908,"(wtd_entropy_Valence * (((wtd_std_ThermalConductivity + (std_atomic_mass + ((-3.7156758 / wtd_mean_Valence) + -9.96858))) + (std_atomic_mass + wtd_entropy_Valence)) / ((wtd_mean_Valence * 3.7189682) + -2.7005424))) + cos(std_atomic_mass)"
