Complexity,Loss,Equation
1,208.53246,"13.816092"
3,150.51558,"wtd_mean_atomic_mass * -12.205729"
4,148.73537,"exp(wtd_gmean_atomic_mass * -2.5756803)"
5,133.92625,"(wtd_mean_atomic_mass * wtd_mean_atomic_mass) * 8.218048"
7,132.05214,"(wtd_mean_atomic_mass * (wtd_mean_atomic_mass * 8.973618)) + entropy_fie"
9,114.276764,"((wtd_std_FusionHeat + 0.7822474) * (wtd_gmean_atomic_mass * wtd_mean_atomic_mass)) * 4.93127"
12,103.99973,"exp((((-0.33097818 * wtd_entropy_fie) + wtd_mean_atomic_mass) * wtd_gmean_atomic_mass) + 1.5642009) + wtd_std_FusionHeat"
16,101.15349,"(exp((wtd_mean_atomic_mass * wtd_gmean_atomic_mass) + (wtd_mean_atomic_mass * -0.05123649)) * (wtd_std_FusionHeat + 0.9938948)) + (wtd_gmean_fie + 2.945384)"
22,97.35109,"(exp(wtd_std_FusionHeat * 0.008294083) + (wtd_mean_atomic_mass + (wtd_mean_atomic_mass * (wtd_mean_atomic_mass * 1.6471418)))) * (((wtd_gmean_atomic_mass * wtd_range_atomic_mass) * wtd_std_FusionHeat) + (wtd_entropy_fie + 5.1591477))"
35,93.37073,"exp(wtd_std_Valence) + (exp(wtd_mean_atomic_mass) + (((entropy_fie + 5.2945766) + ((wtd_std_atomic_radius * (wtd_gmean_atomic_mass * wtd_std_atomic_radius)) * (wtd_gmean_atomic_mass + wtd_entropy_atomic_radius))) + (((wtd_gmean_atomic_mass * wtd_std_FusionHeat) * ((wtd_gmean_atomic_mass + wtd_entropy_atomic_radius) * wtd_gmean_atomic_mass)) * ((wtd_range_atomic_mass * 1.7708362) + -1.401687))))"
38,86.61752,"exp(wtd_std_Valence) + ((wtd_entropy_fie + ((entropy_fie + 5.2945766) + ((wtd_std_atomic_radius * (wtd_gmean_atomic_mass * wtd_std_atomic_radius)) * (wtd_gmean_atomic_mass + wtd_entropy_atomic_radius)))) + (((wtd_gmean_atomic_mass * wtd_std_FusionHeat) * (((wtd_gmean_atomic_mass + (wtd_gmean_fie + wtd_entropy_fie)) * wtd_gmean_atomic_mass) * ((wtd_range_atomic_mass * 1.7708362) + -1.401687))) + 2.0406315))"
45,85.74663,"exp(wtd_std_Valence) + ((exp(wtd_range_atomic_mass) + ((entropy_fie + 5.2945766) + ((wtd_std_atomic_radius * (wtd_gmean_atomic_mass * wtd_std_atomic_radius)) * (wtd_gmean_atomic_mass + wtd_entropy_atomic_radius)))) + (((wtd_gmean_atomic_mass * wtd_std_FusionHeat) * (((wtd_gmean_atomic_mass + (wtd_gmean_fie + wtd_entropy_fie)) * wtd_gmean_atomic_mass) * ((wtd_range_atomic_mass * 1.7708362) + -1.401687))) + (((wtd_range_atomic_mass * wtd_gmean_atomic_mass) + -0.12352936) + entropy_fie)))"
46,84.834236,"exp(wtd_std_Valence) + ((wtd_entropy_fie + ((entropy_fie + 5.2945766) + ((wtd_std_atomic_radius * (wtd_gmean_atomic_mass * wtd_std_atomic_radius)) * (wtd_gmean_atomic_mass + wtd_entropy_atomic_radius)))) + (((wtd_gmean_atomic_mass * wtd_std_FusionHeat) * (((wtd_gmean_atomic_mass + (wtd_gmean_fie + wtd_entropy_fie)) * wtd_gmean_atomic_mass) * ((wtd_range_atomic_mass * 1.7708362) + -1.401687))) + (((wtd_range_atomic_mass * wtd_gmean_atomic_mass) + -0.12352936) + (wtd_std_Valence * wtd_entropy_atomic_radius))))"
