Complexity,Loss,Equation
1,1032.3405,"63.933163"
3,870.0229,"wtd_mean_Valence * -85.97789"
5,847.1191,"(wtd_gmean_Valence * -141.79929) + -41.17086"
7,708.64087,"((wtd_gmean_Valence * -2.1941652) + mean_ThermalConductivity) * 28.66889"
9,706.0278,"(((wtd_gmean_Valence * -2.1941652) + mean_ThermalConductivity) * 28.66889) + wtd_mean_ThermalConductivity"
10,622.5552,"exp(range_atomic_radius + ((wtd_mean_ThermalConductivity + std_atomic_mass) + 1.9063241)) + 26.859154"
15,549.08105,"(wtd_gmean_Valence * (wtd_mean_Valence * 58.916885)) + ((((std_atomic_mass + wtd_gmean_ThermalConductivity) + mean_ThermalConductivity) + 0.6568814) * 22.525757)"
21,508.53363,"(((wtd_gmean_Valence * -7.344356) + ((wtd_mean_ThermalConductivity + wtd_mean_ThermalConductivity) + ((std_atomic_mass + ((wtd_mean_Valence + -2.662555) + range_atomic_radius)) + wtd_entropy_ThermalConductivity))) + 0.26978627) * 16.170748"
23,496.8303,"(((wtd_gmean_Valence * -3.7091165) + ((wtd_mean_ThermalConductivity + wtd_mean_ThermalConductivity) + ((std_atomic_mass + ((wtd_mean_Valence + -1.658485) + range_atomic_radius)) + wtd_entropy_ThermalConductivity))) + 1.2356737) * (wtd_mean_Valence + 20.798067)"
27,494.229,"((((wtd_gmean_Valence * -3.7091165) + ((wtd_mean_ThermalConductivity + wtd_mean_ThermalConductivity) + ((std_atomic_mass + ((wtd_mean_Valence + -1.7155956) + (range_atomic_radius + 0.057110596))) + wtd_entropy_ThermalConductivity))) + 1.2356737) * (wtd_mean_Valence + 20.798067)) + -0.76461977"
39,493.59607,"((wtd_gmean_Valence * -3.059805) + (((wtd_mean_ThermalConductivity + (wtd_mean_ThermalConductivity + (std_atomic_mass + (wtd_gmean_ThermalConductivity + range_atomic_radius)))) + (wtd_gmean_Valence + wtd_entropy_ThermalConductivity)) + 1.5154772)) * ((wtd_mean_ThermalConductivity + wtd_mean_ThermalConductivity) + (((range_atomic_radius + ((range_atomic_radius + 14.486266) + (std_atomic_mass + wtd_mean_Valence))) + (std_atomic_mass + wtd_mean_Valence)) + wtd_gmean_Valence))"
41,492.18106,"(((wtd_gmean_Valence * -3.059805) + (((wtd_mean_ThermalConductivity + (wtd_mean_ThermalConductivity + (std_atomic_mass + (wtd_gmean_ThermalConductivity + range_atomic_radius)))) + (wtd_gmean_Valence + wtd_entropy_ThermalConductivity)) + 1.5154772)) * ((wtd_mean_ThermalConductivity + wtd_mean_ThermalConductivity) + (((range_atomic_radius + ((range_atomic_radius + 14.486266) + (std_atomic_mass + wtd_mean_Valence))) + (std_atomic_mass + wtd_mean_Valence)) + wtd_gmean_Valence))) + wtd_mean_ThermalConductivity"
