Complexity,Loss,Equation
1,28.433437,"6.2426066"
3,26.016813,"wtd_entropy_ThermalConductivity + 6.2703004"
4,24.649368,"exp(range_FusionHeat) * 8.192396"
5,23.050474,"(range_FusionHeat + 1.359455) * 6.665221"
6,22.494051,"exp(range_FusionHeat + 1.981395) + wtd_mean_atomic_radius"
7,21.142206,"(3.9214406 + wtd_entropy_ThermalConductivity) * (std_FusionHeat + 1.7942473)"
9,19.774618,"((wtd_gmean_FusionHeat + 3.9214406) + wtd_entropy_ThermalConductivity) * (std_FusionHeat + 1.7942473)"
13,19.377455,"((((wtd_std_fie * -3.1345253) + -0.8876717) + wtd_entropy_ThermalConductivity) * (std_FusionHeat + 2.2480593)) + std_FusionHeat"
32,19.130047,"(((wtd_mean_atomic_radius + (std_FusionHeat * exp(wtd_entropy_ThermalConductivity))) + (1.1074033 + (wtd_mean_atomic_radius * std_FusionHeat))) + ((wtd_range_atomic_radius * 0.47770423) + exp(exp((0.2760764 + (wtd_entropy_ThermalConductivity * 0.17579907)) + (wtd_gmean_FusionHeat * 0.10157039)) * 1.148579))) + wtd_std_atomic_radius"
34,19.034447,"(((wtd_mean_atomic_radius + ((std_FusionHeat * 1.1921985) * exp(wtd_entropy_ThermalConductivity))) + ((wtd_mean_atomic_radius * std_FusionHeat) + 1.1074033)) + (wtd_range_atomic_radius * 0.47770423)) + (exp(exp(((wtd_entropy_ThermalConductivity * 0.17579907) + 0.2760764) + (wtd_gmean_FusionHeat * 0.10157039)) * 1.148579) + wtd_std_atomic_radius)"
35,18.749563,"((wtd_entropy_ThermalConductivity + exp((wtd_std_fie * -1.8289889) + ((wtd_std_atomic_radius + 0.11654513) * 1.7390915))) + (exp((wtd_std_atomic_radius * (range_FusionHeat * -0.24725877)) * wtd_entropy_ThermalConductivity) + ((wtd_gmean_FusionHeat + wtd_mean_atomic_radius) + 1.2893671))) + (wtd_mean_atomic_radius * (std_FusionHeat + (range_FusionHeat + 0.6531752)))"
37,18.403833,"(((wtd_entropy_ThermalConductivity + exp((wtd_std_fie * -1.6922524) + ((wtd_std_atomic_radius * 1.6857799) + 0.5199504))) + ((exp((wtd_std_atomic_radius * (range_FusionHeat * -0.3900998)) * wtd_entropy_ThermalConductivity) + (wtd_gmean_FusionHeat + wtd_mean_atomic_radius)) + 0.8299907)) + (wtd_mean_atomic_radius * ((std_FusionHeat + range_FusionHeat) + 0.87054837))) + range_FusionHeat"
