Complexity,Loss,Equation
1,1291.3357,"53.37453"
3,1214.5017,"wtd_mean_ThermalConductivity + 53.48561"
4,1113.6844,"53.48561 + exp(wtd_mean_ThermalConductivity)"
5,561.59436,"(wtd_mean_ThermalConductivity * 18.378998) + 37.449284"
7,555.08466,"(wtd_mean_ThermalConductivity * (std_atomic_mass + 16.203884)) + 37.449284"
9,499.4276,"(wtd_mean_ThermalConductivity * ((std_atomic_mass + 4.025405) * 4.025405)) + 37.449284"
11,482.1118,"37.449284 + (wtd_mean_ThermalConductivity * (((std_atomic_mass * 7.0122576) + 7.2551146) + 7.0122576))"
14,480.68945,"exp(wtd_range_atomic_mass) + ((wtd_mean_ThermalConductivity * (((wtd_gmean_atomic_radius + std_atomic_mass) * 10.070395) + 8.760987)) + 28.235617)"
15,476.02536,"(wtd_mean_ThermalConductivity * (((std_atomic_mass * (std_atomic_mass + 7.2551146)) + (wtd_mean_ThermalConductivity + 4.025405)) + 7.0122576)) + 37.449284"
17,470.47305,"(wtd_mean_ThermalConductivity * ((std_atomic_mass * (std_atomic_mass + 7.2551146)) + ((wtd_mean_ThermalConductivity + 4.025405) + 7.0122576))) + (37.449284 + wtd_mean_ThermalConductivity)"
19,465.1006,"(wtd_mean_ThermalConductivity * (((wtd_range_ThermalConductivity * wtd_range_atomic_mass) + (wtd_range_ThermalConductivity + 11.0376625)) + (std_atomic_mass * ((std_atomic_mass + wtd_mean_ThermalConductivity) + 7.2551146)))) + 37.449284"
21,458.96942,"wtd_mean_ThermalConductivity + (((wtd_mean_ThermalConductivity + (exp(wtd_entropy_atomic_mass + -0.7930682) * (std_atomic_mass + -1.1242532))) * (exp(std_atomic_mass) + (wtd_range_ThermalConductivity + 14.978471))) + 43.263554)"
25,451.78146,"(wtd_mean_ThermalConductivity + (((wtd_mean_ThermalConductivity + (exp(wtd_entropy_atomic_mass + -0.7930682) * (std_atomic_mass + -1.1242532))) * ((std_atomic_mass + (wtd_range_ThermalConductivity + 14.978471)) + exp(std_atomic_mass))) + 36.991722)) + 6.2718315"
27,447.70032,"((1.9240525 + 34.20683) + ((wtd_mean_ThermalConductivity + (exp(wtd_entropy_atomic_mass + -0.7815937) * (std_atomic_mass + -1.12866))) * ((std_atomic_mass + (wtd_range_ThermalConductivity + 14.936091)) + exp(std_atomic_mass)))) + (4.245172 + 4.8801484)"
43,440.86353,"exp(wtd_range_ThermalConductivity + (((wtd_mean_ThermalConductivity + (std_atomic_mass + -268.29474)) * exp(std_atomic_mass * std_atomic_mass)) + ((wtd_range_ThermalConductivity + -4.4345617) + (exp(std_atomic_mass) + -61.081886)))) + (((wtd_mean_ThermalConductivity + ((wtd_entropy_atomic_mass + 0.070240356) * (std_atomic_mass + -1.1518114))) * ((std_atomic_mass + wtd_range_ThermalConductivity) + (exp(std_atomic_mass) + 13.974483))) + 43.172707)"
44,438.4919,"exp(wtd_range_ThermalConductivity + (((wtd_mean_ThermalConductivity + (std_atomic_mass + -247.19064)) * exp(std_atomic_mass * std_atomic_mass)) + (((wtd_range_ThermalConductivity + -2.9011068) + exp(std_atomic_mass)) + -59.511738))) + (((wtd_mean_ThermalConductivity + (exp(wtd_entropy_atomic_mass + -0.89655596) * (std_atomic_mass + -1.2677172))) * ((std_atomic_mass + wtd_range_ThermalConductivity) + (exp(std_atomic_mass) + 14.185065))) + 46.234528)"
