Complexity,Loss,Equation
1,85.52157,"9.205608"
3,81.862114,"wtd_std_Valence + 8.766499"
4,79.05933,"exp(wtd_entropy_atomic_radius + 2.148511)"
6,71.97062,"exp((wtd_gmean_ElectronAffinity * -0.19905147) + 2.2198129)"
7,68.89786,"(wtd_entropy_atomic_radius + (wtd_gmean_ElectronAffinity * -4.2414403)) + 7.8189917"
9,60.90323,"(((wtd_entropy_atomic_radius + 0.8025771) * wtd_gmean_ElectronAffinity) * -5.0158787) + 8.716321"
11,58.97277,"(((wtd_entropy_atomic_radius + 0.98072827) * (wtd_gmean_ElectronAffinity * -6.2028)) + 7.2750506) + wtd_std_Valence"
13,57.628334,"(wtd_entropy_atomic_radius + 2.0275135) * (((wtd_gmean_ElectronAffinity * -1.6746635) + (wtd_std_Valence + 0.22969113)) + 2.9888065)"
16,57.500854,"(((exp(wtd_entropy_atomic_radius) + (((wtd_entropy_atomic_radius + 0.8025771) * wtd_gmean_ElectronAffinity) * -6.262083)) * 0.8009921) + 7.2548547) + wtd_std_Valence"
27,55.319935,"((wtd_std_Valence + (wtd_gmean_ElectronAffinity * ((wtd_entropy_atomic_radius * -7.774545) + -5.2972856))) + -0.3048275) + (((wtd_std_fie + range_fie) + 4.594814) + (((wtd_std_Valence + wtd_entropy_atomic_radius) + (mean_ElectronAffinity + 0.63607764)) + 2.5993252))"
33,55.299694,"(((((wtd_entropy_atomic_radius * 1.8061838) + ((wtd_gmean_ElectronAffinity * -3.2297153) + (wtd_std_Valence + 1.0001465))) + ((wtd_gmean_ElectronAffinity * gmean_Valence) + 3.5468295)) + (((wtd_std_fie + -0.22104573) * mean_FusionHeat) + range_fie)) + (wtd_gmean_ElectronAffinity * (wtd_gmean_ElectronAffinity + -1.7965839))) + 2.8167984"
35,53.422287,"(((wtd_std_Valence + (wtd_gmean_ElectronAffinity * ((wtd_entropy_atomic_radius * -2.497088) + -2.991265))) + (((mean_FusionHeat * -0.07942358) + 0.5521793) * (((mean_FusionHeat * wtd_std_Valence) * -2.2124403) + 4.1259084))) + ((((range_fie + wtd_std_fie) + 3.1434894) + wtd_entropy_atomic_radius) + -0.8604931)) * 1.9210464"
37,51.44012,"(((wtd_std_Valence + (wtd_gmean_ElectronAffinity * ((wtd_entropy_atomic_radius * -1.4386579) + -2.4903238))) + (((mean_FusionHeat * (wtd_std_fie * 0.29066414)) + 0.9626103) * (((mean_FusionHeat * wtd_std_Valence) * -1.4858716) + 4.916103))) + (((wtd_std_fie + range_fie) + 3.4073353) + (wtd_entropy_atomic_radius + -0.55158997))) * 1.4131726"
39,51.431396,"(((wtd_std_Valence + (wtd_gmean_ElectronAffinity * ((wtd_entropy_atomic_radius * -1.4386579) + -2.4903238))) + ((((((mean_FusionHeat * 0.17196545) * wtd_std_fie) * 1.6902473) + 0.9626103) * (((mean_FusionHeat * wtd_std_Valence) * -1.4858716) + 4.916103)) + (wtd_std_fie + (range_fie + 3.4073353)))) + (wtd_entropy_atomic_radius + -0.86127675)) * 1.4131726"
46,51.163876,"(((wtd_std_Valence + (wtd_gmean_ElectronAffinity * ((exp(0.4450606) * (wtd_entropy_atomic_radius * -0.921871)) + -2.4903238))) + ((((mean_FusionHeat * 0.17196545) * wtd_std_fie) + 0.9626103) * (((-1.4858716 * (mean_FusionHeat * wtd_std_Valence)) + 1.627413) + 3.2886899))) + ((((range_fie + wtd_std_fie) + 3.4073353) + wtd_entropy_atomic_radius) + ((1.1906765 * 0.900797) + -1.6241478))) * 1.4131726"
