Complexity,Loss,Equation
1,955.59753,"56.300594"
3,929.9309,"wtd_std_ThermalConductivity * 64.764275"
4,872.7405,"exp(wtd_std_ThermalConductivity + 3.0514305)"
6,849.5268,"exp(wtd_std_ThermalConductivity + 2.7474053) * 1.4882779"
7,734.0293,"exp(exp(wtd_mean_Valence * -0.95931304)) * 6.192521"
10,733.59955,"((exp(wtd_gmean_Valence) * -439.31476) + (mean_FusionHeat * 6.483924)) + 266.05655"
12,725.9583,"((exp(wtd_gmean_Valence) * -439.31476) + ((mean_FusionHeat + mean_FusionHeat) * 6.483924)) + 266.05655"
13,719.70807,"(((wtd_gmean_Valence * (wtd_mean_Valence + -20.602715)) + -14.301266) * (wtd_mean_Valence + 9.513646)) + 33.790047"
14,643.1221,"((exp(wtd_gmean_Valence) * -439.31476) + mean_FusionHeat) + (((wtd_entropy_ThermalConductivity * 2.5952497) * 6.483924) + 266.05655)"
19,638.8651,"((((wtd_gmean_Valence * (wtd_mean_Valence + -16.957117)) + -7.1010547) * 8.8837385) + (((wtd_std_fie * 104.72383) * wtd_gmean_ThermalConductivity) + 52.506187)) + 8.603372"
21,617.1942,"(((exp(wtd_gmean_Valence) * -51.92575) + 29.433956) * 8.254258) + ((std_atomic_mass * 3.6977925) * exp(((wtd_std_fie + wtd_std_ThermalConductivity) + wtd_entropy_ThermalConductivity) + -0.7779071))"
22,605.7666,"(((exp(wtd_gmean_Valence) * -51.807823) + 29.06061) * 9.124286) + ((std_atomic_mass * 3.5571475) * (((wtd_std_fie + (wtd_std_ThermalConductivity * std_atomic_mass)) * wtd_entropy_ThermalConductivity) + 3.4098198))"
25,585.21606,"(((exp(wtd_gmean_Valence) * -49.17085) + 30.39827) * 6.3400264) + ((std_atomic_mass * 2.015398) * (((std_Density * wtd_gmean_ThermalConductivity) + exp((wtd_std_fie + wtd_std_ThermalConductivity) + wtd_entropy_ThermalConductivity)) + -1.0426086))"
26,584.40106,"((exp(wtd_gmean_Valence) * -47.86063) + 29.604568) * (7.1148415 + (std_atomic_mass * (0.9423919 * ((wtd_entropy_ThermalConductivity + wtd_entropy_ThermalConductivity) + ((wtd_entropy_ThermalConductivity * (wtd_mean_Valence + 0.13177323)) + exp(exp(mean_FusionHeat)))))))"
27,567.4604,"((29.433956 + (exp(wtd_gmean_Valence) * -51.92575)) * 8.254258) + ((3.6977925 * std_atomic_mass) * ((((wtd_std_fie + (wtd_std_ThermalConductivity * 3.6977925)) * wtd_entropy_ThermalConductivity) + exp(wtd_std_fie + wtd_std_ThermalConductivity)) + wtd_gmean_Valence))"
30,565.39014,"((29.433956 + (exp(wtd_gmean_Valence) * -51.92575)) * 8.254258) + ((3.6977925 * std_atomic_mass) * ((((wtd_std_fie + wtd_std_ThermalConductivity) * 3.6977925) * wtd_entropy_ThermalConductivity) + exp((wtd_std_fie + wtd_std_ThermalConductivity) + exp(wtd_gmean_Valence + -0.7779071))))"
32,553.4772,"(((exp(wtd_gmean_Valence) * -51.92575) + 29.433956) * 8.254258) + ((std_atomic_mass * 3.6977925) * ((((wtd_std_fie + (wtd_std_ThermalConductivity * 3.6977925)) * wtd_entropy_ThermalConductivity) + exp((wtd_std_fie + wtd_std_ThermalConductivity) + exp(wtd_gmean_Valence + -0.7779071))) + wtd_gmean_Valence))"
34,549.9545,"((29.433956 + (exp(wtd_gmean_Valence) * -51.92575)) * 8.254258) + ((3.6977925 * std_atomic_mass) * (((((2.227934 + 0.41488627) + (wtd_std_ThermalConductivity * 3.6977925)) * wtd_entropy_ThermalConductivity) + exp((wtd_std_fie + wtd_std_ThermalConductivity) + exp(wtd_gmean_Valence + -0.7779071))) + wtd_gmean_Valence))"
35,545.4029,"(((exp(wtd_gmean_Valence) * -51.92575) + 29.433956) * 8.254258) + ((std_atomic_mass * 3.6977925) * (wtd_gmean_Valence + ((wtd_std_fie + (wtd_std_ThermalConductivity * (wtd_entropy_ThermalConductivity * 3.6977925))) + ((std_atomic_mass + 1.6730393) + exp((wtd_std_fie + wtd_std_ThermalConductivity) + (wtd_gmean_Valence + 0.4593664))))))"
37,534.33344,"(((exp(wtd_gmean_Valence) * -51.92575) + 29.433956) * 8.254258) + ((std_atomic_mass * (2.6686313 + wtd_entropy_ThermalConductivity)) * ((wtd_gmean_Valence + (wtd_std_fie + (wtd_std_ThermalConductivity * ((std_atomic_mass + 0.10033981) * 3.6977925)))) + ((std_atomic_mass + 1.6730393) + (wtd_gmean_Valence + exp(exp(exp(wtd_gmean_Valence)))))))"
38,533.0183,"(((exp(wtd_gmean_Valence) * -51.92575) + 29.433956) * 8.254258) + ((std_atomic_mass * (wtd_entropy_ThermalConductivity + 2.6686313)) * ((wtd_gmean_Valence + (wtd_std_fie + (wtd_std_ThermalConductivity * ((std_atomic_mass + 0.10033981) * 3.6977925)))) + ((std_atomic_mass + (wtd_std_fie + 1.8927845)) + (wtd_gmean_Valence + exp(exp(wtd_gmean_Valence))))))"
39,529.58276,"(((exp(wtd_gmean_Valence) * -51.92575) + 29.433956) * 8.254258) + ((std_atomic_mass * (wtd_entropy_ThermalConductivity + 2.6686313)) * ((wtd_gmean_Valence + (wtd_std_fie + (wtd_std_ThermalConductivity * ((std_atomic_mass + 0.10033981) * 3.6977925)))) + ((std_atomic_mass + (wtd_std_fie + 1.8927845)) + exp(wtd_gmean_Valence + exp(exp(wtd_gmean_Valence))))))"
43,527.9019,"(((exp(wtd_gmean_Valence) * -51.92575) + 29.433956) * 8.254258) + ((std_atomic_mass * (2.6686313 + wtd_entropy_ThermalConductivity)) * ((wtd_gmean_Valence + (wtd_std_fie + (wtd_std_ThermalConductivity * ((std_atomic_mass + 0.10033981) * 3.6977925)))) + ((std_atomic_mass + (1.6730393 + ((1.6730393 + -1.4532942) * wtd_std_fie))) + exp(wtd_gmean_Valence + exp(exp(wtd_gmean_Valence))))))"
