Complexity,Loss,Equation
1,128.40656,"12.484499"
5,105.1234,"(wtd_mean_atomic_mass * -5.153516) + 8.250228"
6,87.550766,"exp(wtd_gmean_ElectronAffinity * -1.5682732) + 9.415538"
8,77.58131,"exp(wtd_mean_ElectronAffinity * -1.5682732) + (9.415538 + wtd_mean_ElectronAffinity)"
11,71.432686,"(exp(wtd_gmean_ElectronAffinity) + (exp(wtd_gmean_ElectronAffinity * -1.7087877) + 5.135612)) + -0.76646006"
17,70.70273,"(wtd_entropy_FusionHeat * -2.0428247) + (mean_fie + ((std_atomic_radius + exp(wtd_gmean_ElectronAffinity * wtd_mean_atomic_mass)) + (exp(std_atomic_radius) + mean_ElectronAffinity)))"
21,69.356865,"wtd_gmean_ElectronAffinity + (((exp(std_atomic_radius) + ((std_atomic_radius + (exp(wtd_gmean_ElectronAffinity * wtd_mean_atomic_mass) + gmean_ThermalConductivity)) + mean_ElectronAffinity)) + 2.4578476) + (wtd_gmean_ElectronAffinity * wtd_mean_ElectronAffinity))"
22,61.889942,"(((((exp(wtd_mean_ElectronAffinity * -1.3671429) + exp(mean_fie + -1.3463131)) * (1.0234293 + 0.26019782)) + -0.41713214) + exp(std_atomic_radius)) * 1.3439735) + 0.86063987"
23,50.81697,"(exp(wtd_mean_ElectronAffinity * -1.3586913) + (((exp(mean_fie + -1.4343065) * 1.6350904) + (((wtd_mean_ElectronAffinity * 2.4049077) + mean_ThermalConductivity) * std_atomic_radius)) + 3.5077946)) * 1.3160692"
37,50.603733,"((((exp(wtd_mean_ElectronAffinity * -1.3671429) + exp(mean_fie + -1.3463131)) * 1.0234293) + ((exp(wtd_mean_ElectronAffinity * -0.059876624) + exp(mean_fie + -1.3463131)) * 1.3439735)) + (((wtd_mean_ElectronAffinity * ((mean_ThermalConductivity + 3.1849883) * std_atomic_radius)) + gmean_ThermalConductivity) + 4.2005625)) * 0.86063987"
38,48.617596,"(((exp(wtd_mean_ElectronAffinity * -1.3671429) + exp(mean_fie + -1.3463131)) * 1.3439735) + ((((wtd_mean_ElectronAffinity * 0.254834) + exp(mean_fie + -1.3463131)) * 1.3439735) + (((((wtd_mean_ElectronAffinity * 3.1849883) + mean_ThermalConductivity) * std_atomic_radius) + (gmean_ThermalConductivity + 1.9505081)) + 2.2500546))) * 0.86063987"
