Complexity,Loss,Equation
1,112.41655,"11.404481"
3,107.935394,"wtd_std_FusionHeat + 11.331729"
5,101.355545,"(wtd_mean_atomic_mass * -4.2877455) + 10.129682"
8,97.51515,"exp((wtd_mean_atomic_mass * -2.89839) + -2.6380186) + 9.591699"
10,93.13169,"(exp(wtd_std_FusionHeat + 1.1306787) * (wtd_mean_atomic_mass * wtd_mean_Valence)) + 11.491363"
12,91.81844,"((exp(wtd_std_FusionHeat + 1.1306787) + -5.653328) * (wtd_mean_atomic_mass * wtd_mean_atomic_mass)) + 11.491363"
13,91.588135,"((exp(wtd_std_FusionHeat + 1.1306787) + exp(wtd_std_FusionHeat)) * (wtd_mean_atomic_mass * wtd_mean_Valence)) + 11.491363"
14,88.37938,"(((exp(wtd_std_FusionHeat + 1.1306787) + -5.653328) * (wtd_entropy_atomic_radius + wtd_mean_atomic_mass)) * -0.61690325) + 11.491363"
17,84.827415,"((exp(wtd_std_FusionHeat + 1.1306787) + (exp(wtd_std_FusionHeat + 1.1306787) + -5.653328)) * (wtd_mean_atomic_mass * wtd_mean_Valence)) + 11.491363"
19,82.16288,"((((wtd_mean_fie * 8.799033) + ((wtd_mean_atomic_mass * -4.05056) * (wtd_std_FusionHeat + 0.45243225))) + exp(wtd_range_ElectronAffinity)) + exp(wtd_range_Valence)) + 17.018242"
22,78.43522,"(((wtd_mean_fie * 2.9222918) + (((wtd_mean_atomic_mass * -0.6401842) * (exp(wtd_std_FusionHeat + 1.4261875) + -2.709493)) + exp(wtd_entropy_atomic_radius))) + exp(wtd_range_Valence)) + 8.215661"
24,76.200775,"(((exp(wtd_std_FusionHeat + 1.2796528) + -0.13700302) * ((wtd_entropy_atomic_radius + wtd_mean_atomic_mass) * -0.409307)) + 2.3065236) + (exp(exp(wtd_entropy_atomic_radius) + 1.2599422) + (wtd_entropy_atomic_radius * -0.5196148))"
25,74.30184,"(((exp(wtd_std_FusionHeat + 1.2796528) + -0.13700302) * ((wtd_entropy_atomic_radius + wtd_mean_atomic_mass) * -0.409307)) + exp(-1.2644589)) + (exp(exp(wtd_entropy_atomic_radius) + 1.2599422) + (wtd_entropy_atomic_radius * -0.5196148))"
30,70.57919,"(((wtd_mean_fie * 0.82114315) + (((exp(wtd_std_FusionHeat + 0.3962032) + -0.7546674) * (((wtd_entropy_atomic_radius + wtd_mean_atomic_mass) * -2.0550923) + -2.43288)) + wtd_std_FusionHeat)) + (exp(exp(wtd_entropy_atomic_radius) + 1.1580024) + 2.218906)) + 0.5018406"
32,65.25449,"(((wtd_mean_fie * 4.128415) + (((exp(wtd_std_FusionHeat + 1.525297) * (wtd_entropy_atomic_radius + wtd_mean_atomic_mass)) * -0.42885873) + (exp(wtd_mean_fie) + exp(exp(wtd_entropy_atomic_radius) + 1.4547315)))) + ((exp(entropy_fie) + 3.1656506) * wtd_range_Valence)) + 0.8171517"
34,64.38754,"(((wtd_mean_fie * 4.128415) + ((exp(wtd_std_FusionHeat + 1.525297) * ((wtd_entropy_atomic_radius + (wtd_mean_atomic_mass + 0.6569955)) * -0.42885873)) + (exp(wtd_mean_fie) + exp(exp(wtd_entropy_atomic_radius) + 1.4547315)))) + ((exp(entropy_fie) + 3.1656506) * wtd_range_Valence)) + 0.8171517"
38,63.998028,"(((wtd_mean_fie * 4.128415) + (((exp(wtd_std_FusionHeat + 1.525297) * ((wtd_entropy_atomic_radius + (wtd_mean_atomic_mass * 0.6569955)) * -0.42885873)) + ((wtd_mean_fie + gmean_Valence) * -0.52947205)) + exp(exp(wtd_entropy_atomic_radius) + 1.4547315))) + ((exp(entropy_fie) + 3.1656506) * wtd_range_Valence)) + exp(-0.40812638)"
