Complexity,Loss,Equation
1,83.072174,"8.895042"
3,74.49679,"wtd_std_FusionHeat + 8.952968"
4,52.40281,"exp(wtd_std_FusionHeat + 1.7087768)"
5,47.99745,"(wtd_std_FusionHeat * 8.203962) + 10.616195"
6,47.509872,"exp((wtd_std_FusionHeat + 3.447544) * 0.66128063)"
7,41.087597,"(wtd_mean_ElectronAffinity * (wtd_std_FusionHeat * -5.2880964)) + 9.562447"
10,41.07466,"(exp((wtd_mean_atomic_mass * -0.99993384) + wtd_std_FusionHeat) + wtd_mean_Valence) + 3.6827848"
11,40.827587,"((wtd_mean_atomic_mass * wtd_mean_ElectronAffinity) + 9.387203) + ((-3.3694775 * wtd_std_FusionHeat) * wtd_mean_ElectronAffinity)"
13,39.579124,"((wtd_std_FusionHeat * wtd_mean_ElectronAffinity) * -3.3694775) + (((wtd_mean_ElectronAffinity * wtd_std_FusionHeat) * wtd_mean_atomic_mass) + 9.387203)"
15,37.496895,"(wtd_std_FusionHeat * ((wtd_mean_ElectronAffinity * -3.3694775) + ((wtd_mean_ElectronAffinity * wtd_std_FusionHeat) * wtd_mean_atomic_mass))) + (range_FusionHeat + 9.387203)"
17,37.238235,"entropy_fie + ((9.387203 + ((wtd_std_FusionHeat * wtd_mean_ElectronAffinity) * -3.3694775)) + ((wtd_mean_Valence + wtd_mean_atomic_mass) * (wtd_mean_ElectronAffinity * wtd_std_FusionHeat)))"
18,35.34514,"((wtd_mean_atomic_mass * exp(wtd_std_FusionHeat)) * (range_FusionHeat + (wtd_std_FusionHeat * wtd_mean_ElectronAffinity))) + (((wtd_std_FusionHeat + wtd_mean_Valence) + entropy_fie) + 9.387203)"
21,34.693768,"(wtd_mean_ElectronAffinity * (wtd_std_FusionHeat * (range_FusionHeat + (wtd_std_FusionHeat * wtd_mean_ElectronAffinity)))) + (((wtd_std_FusionHeat + entropy_fie) + 9.387203) + (wtd_std_FusionHeat * (wtd_mean_ElectronAffinity * -3.3694775)))"
23,33.23774,"((wtd_mean_ElectronAffinity * wtd_std_FusionHeat) * (range_FusionHeat + (wtd_std_FusionHeat * wtd_mean_ElectronAffinity))) + (((wtd_std_FusionHeat + (wtd_mean_Valence + entropy_fie)) + 9.387203) + (wtd_std_FusionHeat * (wtd_mean_ElectronAffinity * -3.3694775)))"
25,33.14276,"(((((wtd_mean_ElectronAffinity * wtd_std_FusionHeat) * (range_FusionHeat + (wtd_mean_ElectronAffinity * wtd_std_FusionHeat))) + wtd_std_FusionHeat) + (wtd_mean_Valence + (entropy_fie + 9.387203))) + (wtd_std_FusionHeat * (wtd_mean_ElectronAffinity * -3.3694775))) + -0.11279297"
