Complexity,Loss,Equation
1,960.04315,"56.96004"
3,786.3575,"wtd_mean_Valence * -69.39733"
5,785.7449,"wtd_mean_Valence + (wtd_mean_Valence * -70.69393)"
6,770.5672,"(wtd_mean_Valence * -70.69393) + exp(std_atomic_mass)"
7,754.6663,"wtd_entropy_ThermalConductivity + ((wtd_mean_Valence * -136.87514) + -53.289997)"
8,752.9446,"((wtd_gmean_Valence * -232.30508) + -124.1296) + exp(wtd_std_fie)"
9,720.02606,"((std_atomic_mass + (wtd_mean_Valence * -12.56808)) + -3.5168) * 7.3631525"
11,646.60156,"(((wtd_entropy_ThermalConductivity + -12.555761) * 8.828679) + (wtd_gmean_Valence * -220.73233)) + wtd_std_atomic_mass"
13,639.2621,"((((std_atomic_mass * range_fie) + wtd_gmean_Valence) + (wtd_gmean_Valence * -12.138739)) + -5.6384945) * 17.6355"
15,625.2676,"((((std_atomic_mass * (-0.35947192 + 1.1824654)) + wtd_gmean_Valence) + (wtd_gmean_Valence * -12.138739)) + -5.6384945) * 17.6355"
17,624.71686,"((((((wtd_gmean_Valence * 6.321438) + 0.17182097) * -1.8754971) + -3.0055673) + (std_atomic_mass + -0.23005565)) * 18.673199) + -55.081093"
21,605.18915,"((((((std_atomic_mass * 0.6303673) + 6.940851) * (wtd_gmean_Valence * -1.7529192)) + -4.8779764) * 18.124256) + ((wtd_entropy_ThermalConductivity + -5.7366953) * 5.4658675)) + -0.042776894"
25,604.84766,"(wtd_gmean_Valence * (((wtd_std_atomic_mass * -2.313273) + -19.238058) * 10.799978)) + (((((wtd_gmean_Valence * (wtd_std_Valence * 0.6747377)) + (wtd_std_fie * 34.98218)) * -2.5606527) + wtd_gmean_ThermalConductivity) + -32.847008)"
41,602.9612,"((((wtd_entropy_ThermalConductivity * 14.238679) + wtd_mean_Valence) + -26.781368) + ((((wtd_std_fie * 39.940903) + -68.786415) + ((((wtd_gmean_Valence * wtd_mean_Valence) * -22.017715) + ((wtd_std_fie * 39.939335) + -68.78639)) + ((wtd_std_fie * 39.939743) + (((wtd_gmean_Valence * wtd_std_Valence) * -17.224358) + -68.78629)))) * wtd_gmean_Valence)) + wtd_std_Valence"
