Complexity,Loss,Equation
1,955.6636,"70.19278"
3,948.1367,"std_atomic_mass + 68.57626"
4,936.1122,"exp(std_atomic_mass) + 67.43269"
5,747.94696,"(wtd_mean_ThermalConductivity * 18.249115) + 37.72197"
7,743.2114,"((wtd_mean_ThermalConductivity * 20.083912) + 38.351875) + std_Density"
9,713.9167,"(wtd_mean_ThermalConductivity * 20.083912) + (38.351875 + (20.083912 * std_Density))"
11,624.2891,"((wtd_mean_ThermalConductivity * (std_atomic_mass + (wtd_std_ElectronAffinity + 2.0901852))) + 7.519483) * 5.2139"
15,622.6308,"(5.2139 * ((wtd_mean_ThermalConductivity * (std_atomic_mass + (1.2834516 + (wtd_std_ElectronAffinity + 0.8067337)))) + 7.519483)) + 0.26475084"
19,622.6163,"((wtd_mean_ThermalConductivity * ((std_atomic_mass + (wtd_range_atomic_mass * 0.78320163)) + (wtd_std_ElectronAffinity + 0.79408675))) + 4.871086) * (range_ElectronAffinity + (wtd_gmean_ThermalConductivity + 7.7616916))"
21,602.6498,"((wtd_mean_ThermalConductivity * (std_atomic_mass + ((wtd_entropy_atomic_mass + -1.6405138) * -0.7848891))) + (wtd_std_ElectronAffinity + 2.632649)) * (((std_Density + 0.22746173) + std_atomic_mass) + 11.65399)"
23,580.7678,"((wtd_mean_ThermalConductivity * (std_atomic_mass + ((wtd_entropy_atomic_mass + -1.98965) * -1.5831071))) + (wtd_std_ElectronAffinity + 3.4821844)) * (((std_Density + 2.9609864) + std_atomic_mass) + (wtd_std_ElectronAffinity + 3.6969368))"
31,577.70105,"((wtd_mean_ThermalConductivity * (std_atomic_mass + ((wtd_entropy_atomic_mass + -3.4881735) * -0.85153353))) + (wtd_std_ElectronAffinity + 3.3880835)) * (((std_Density + 0.2708091) + std_atomic_mass) + ((((std_Density + (std_atomic_mass + 1.4175248)) + 0.031095278) * -0.1955182) + 6.970675))"
49,574.3884,"(((std_atomic_mass + ((wtd_gmean_Valence * wtd_gmean_Valence) * 4.3869047)) + wtd_std_ElectronAffinity) + 5.445743) * (((std_atomic_mass + (wtd_gmean_Valence * (wtd_gmean_Valence * 3.3710015))) + (wtd_std_ElectronAffinity + 3.8409925)) + (((((wtd_gmean_Valence * 1.8147497) * wtd_entropy_atomic_mass) + ((wtd_std_ElectronAffinity + wtd_gmean_ThermalConductivity) + wtd_mean_ThermalConductivity)) * ((std_atomic_mass + (wtd_gmean_Valence * ((wtd_gmean_Valence * -6.733366) + wtd_entropy_atomic_mass))) + 7.622119)) * 0.26747888))"
