Complexity,Loss,Equation
1,10.241592,"3.2945464"
3,8.9491415,"wtd_mean_atomic_radius * wtd_mean_atomic_radius"
4,8.7600355,"exp(wtd_mean_atomic_radius * 0.7259712)"
5,8.322496,"(wtd_mean_atomic_radius * wtd_mean_atomic_radius) + wtd_std_Density"
6,8.160477,"(wtd_std_Density + exp(wtd_mean_atomic_radius)) * 0.4875835"
7,7.9034023,"((wtd_mean_fie * wtd_mean_atomic_radius) * -1.8942856) + 0.6100213"
10,7.898053,"((wtd_mean_fie * (wtd_mean_atomic_radius * -1.8942856)) + exp(0.1701634)) + -0.060418274"
11,7.864743,"(((wtd_mean_fie * -2.1610959) * wtd_mean_atomic_radius) + (wtd_gmean_atomic_radius * -0.69232434)) + 1.3758032"
15,7.557102,"(((wtd_std_atomic_mass * 0.38072464) + ((wtd_mean_fie + 0.36455426) * (wtd_mean_atomic_radius * -1.8855715))) + 0.5359921) + wtd_mean_atomic_radius"
19,7.2338414,"(wtd_mean_atomic_radius * (wtd_mean_atomic_radius + -1.0776218)) + (((wtd_std_atomic_mass * 0.31599087) + (((wtd_mean_fie + 0.6582011) * -1.4813874) * wtd_mean_atomic_radius)) + 2.0470667)"
21,7.1992598,"(((((wtd_std_atomic_mass * -0.52516973) + wtd_std_atomic_mass) + -0.72848123) + (((wtd_mean_fie + 0.70625496) * -1.7612638) + (wtd_mean_atomic_radius + -1.2754738))) * wtd_gmean_atomic_radius) + 4.011391"
25,7.110045,"((((wtd_std_atomic_mass * -0.52516973) * wtd_std_atomic_mass) + ((-0.72848123 + ((((wtd_mean_fie + 0.70625496) * -1.7612638) + (wtd_mean_atomic_radius * 0.9155238)) + -1.2754738)) * wtd_gmean_atomic_radius)) + 4.011391) + 0.4720885"
33,6.977822,"exp((exp((((wtd_std_Density + 4.0408545) * 0.50995785) + wtd_gmean_fie) * (((wtd_gmean_ThermalConductivity + -0.11535439) * wtd_gmean_fie) + -1.5908638)) * -1.4794763) + (((wtd_gmean_fie + (wtd_gmean_atomic_radius + 0.3353353)) * wtd_gmean_fie) * -1.2458742)) + (wtd_gmean_atomic_radius + -1.1667082)"
