Complexity,Loss,Equation
1,959.32166,"70.68351"
3,842.5378,"wtd_gmean_Valence * -106.38622"
5,734.7863,"(wtd_mean_ThermalConductivity * 19.541012) + 39.52027"
7,598.80023,"((wtd_mean_ThermalConductivity + 0.94554746) + std_atomic_mass) * 21.811342"
9,598.1094,"1.8541186 + (((wtd_mean_ThermalConductivity + std_atomic_mass) + 0.94554746) * 20.865795)"
13,594.3399,"(((((wtd_mean_ThermalConductivity + 0.94554746) + std_atomic_mass) * 20.865795) + std_Density) + -1.6675688) + wtd_mean_ThermalConductivity"
15,590.73663,"((((wtd_mean_ThermalConductivity + ((wtd_std_ElectronAffinity + wtd_std_ElectronAffinity) * 0.08861213)) + std_atomic_mass) * 22.552439) + std_Density) + 12.234189"
21,585.6899,"((wtd_mean_ThermalConductivity + 10.168293) * (((wtd_std_ElectronAffinity * -0.71118265) + (range_fie * wtd_mean_ThermalConductivity)) + ((wtd_mean_ThermalConductivity + std_atomic_mass) + (wtd_std_ElectronAffinity + std_atomic_mass)))) + 17.893982"
25,554.90265,"(wtd_std_ElectronAffinity * exp(0.72857636 + -6.1929884)) + ((((wtd_std_ElectronAffinity + 2.6257133) * wtd_mean_ThermalConductivity) + exp(std_atomic_mass)) * (((wtd_mean_ThermalConductivity + range_fie) * (wtd_range_atomic_mass + 0.026527416)) + 8.572552))"
28,536.0174,"((((wtd_std_ElectronAffinity * 0.7306201) + (((wtd_std_ElectronAffinity + 2.6257133) * wtd_mean_ThermalConductivity) + exp(std_atomic_mass))) * (((wtd_mean_ThermalConductivity + wtd_mean_ThermalConductivity) * (wtd_range_atomic_mass + 0.026527416)) + 8.572552)) + (wtd_gmean_ThermalConductivity * 1.6904103)) + std_atomic_mass"
41,535.1169,"(((wtd_std_ElectronAffinity * 0.7306201) + (((wtd_std_ElectronAffinity + 2.6257133) * wtd_mean_ThermalConductivity) + exp(std_atomic_mass))) * (((wtd_mean_ThermalConductivity + wtd_mean_ThermalConductivity) * (wtd_range_atomic_mass + 0.026527416)) + 8.572552)) + ((std_Density + ((wtd_std_ElectronAffinity + -0.477713) * exp((range_fie + -11.066359) + (wtd_gmean_Valence + (wtd_std_ElectronAffinity + range_fie))))) + 2.3318388)"
45,531.72186,"(wtd_std_ElectronAffinity * exp(range_fie + -6.1929884)) + (((((wtd_std_ElectronAffinity + 2.6257133) * wtd_mean_ThermalConductivity) + exp(std_atomic_mass)) * (((wtd_mean_ThermalConductivity + range_fie) * (wtd_range_atomic_mass + 0.026527416)) + 8.572552)) + ((-0.477713 + (wtd_std_ElectronAffinity * ((((range_fie + wtd_gmean_ElectronAffinity) + 37.21846) + (std_Density + -11.066359)) + (wtd_gmean_Valence + -17.365356)))) + range_fie))"
48,531.6314,"(((((range_fie + -0.8099819) * -2.9255912) + (wtd_gmean_Valence * wtd_gmean_ThermalConductivity)) + 4.9604573) * ((wtd_std_ElectronAffinity * (range_fie + exp(wtd_gmean_Valence))) + (wtd_mean_ThermalConductivity * (range_fie + (wtd_std_ElectronAffinity + exp(std_atomic_mass)))))) + (((wtd_range_atomic_mass * (wtd_gmean_Valence * 6.3701763)) * -6.437454) + ((((wtd_mean_ThermalConductivity * 12.475385) * range_fie) + -3.7666414) + (exp(range_ElectronAffinity) + 22.735302)))"
49,531.2065,"(wtd_std_ElectronAffinity * exp(range_fie + -6.1929884)) + (((((wtd_std_ElectronAffinity + 2.6257133) * wtd_mean_ThermalConductivity) + exp(std_atomic_mass)) * ((((wtd_mean_ThermalConductivity + range_fie) * wtd_range_atomic_mass) + 0.026527416) + 8.572552)) + ((((range_fie * 0.52497125) + -0.477713) + (wtd_std_ElectronAffinity * ((range_fie + ((wtd_gmean_ElectronAffinity + 37.21846) + (std_Density + -11.066359))) + (wtd_gmean_Valence + -17.365356)))) + range_fie))"
