Complexity,Loss,Equation
1,10.713929,"3.4826345"
2,9.24554,"square(wtd_mean_atomic_radius)"
3,8.663654,"wtd_mean_fie / -0.23868133"
4,8.65896,"abs(wtd_mean_fie / -0.23868133)"
5,8.309843,"cube(1.9933447 - exp(wtd_mean_fie))"
6,8.127464,"abs(wtd_mean_atomic_mass + (wtd_mean_atomic_radius * -3.3756533))"
8,8.028257,"cube(cos(sin(wtd_mean_fie) + 1.6792643) + 0.9314881)"
9,7.520617,"abs(log(cube(1.1768867 + cos(wtd_gmean_fie + -2.1031487))))"
10,7.373787,"cube(cos(cos(wtd_gmean_fie / 0.39434206) + 0.61631626) + 0.73889005)"
11,6.665279,"abs((wtd_mean_atomic_radius * (sin(wtd_mean_atomic_radius * -4.018254) + -2.5426192)) + wtd_mean_atomic_mass)"
12,6.6644664,"abs(abs(wtd_mean_atomic_mass) + ((sin(wtd_mean_atomic_radius * -4.018254) + -2.5426192) * wtd_mean_atomic_radius))"
13,6.4081655,"abs((((sin(wtd_mean_atomic_radius * -4.018254) + -2.5426192) * wtd_mean_atomic_radius) + wtd_mean_atomic_mass) / 0.8556886)"
14,6.406767,"abs(((-2.5426192 + sin(wtd_mean_atomic_radius * -4.018254)) * wtd_mean_atomic_radius) + abs(wtd_mean_atomic_mass)) / 0.8556886"
15,6.3936057,"abs((((-2.5426192 + sin(wtd_mean_atomic_radius * -4.018254)) * wtd_mean_atomic_radius) + wtd_mean_atomic_mass) / 0.8556886) - 0.059815433"
18,6.2345033,"abs((wtd_mean_atomic_radius * (-2.5426192 + sin(wtd_mean_atomic_radius * -4.018254))) + (wtd_mean_atomic_mass + sin((wtd_gmean_ThermalConductivity * wtd_mean_atomic_mass) + wtd_mean_atomic_mass)))"
20,6.2118487,"abs((wtd_mean_atomic_radius * (-2.5426192 + sin(wtd_mean_atomic_radius * -4.018254))) + ((wtd_mean_atomic_mass + sin((wtd_gmean_ThermalConductivity * wtd_mean_atomic_mass) + wtd_mean_atomic_mass)) - 0.050298434))"
