Complexity,Loss,Equation
1,331.8491,"20.689615"
3,323.79953,"wtd_mean_ThermalConductivity + 21.635452"
4,274.47092,"square(wtd_gmean_ElectronAffinity - 4.4508157)"
6,219.01823,"cube(tan(cos(wtd_gmean_ElectronAffinity)) - -1.7626681)"
8,202.75682,"square(square(-1.3878837 - cos(wtd_gmean_ElectronAffinity)) + range_atomic_mass)"
10,199.36375,"square(wtd_std_Density - (square(-1.3878837 - cos(wtd_gmean_ElectronAffinity)) + range_atomic_mass))"
11,195.41731,"square(range_atomic_mass + (square(-1.3494295 - abs(cos(wtd_gmean_ElectronAffinity))) - wtd_gmean_ElectronAffinity))"
13,188.45227,"square((wtd_mean_ThermalConductivity + (square(-1.3494295 - abs(cos(wtd_gmean_ElectronAffinity))) - wtd_gmean_ElectronAffinity)) + range_atomic_mass)"
14,162.1992,"square((wtd_mean_ThermalConductivity + (range_atomic_mass + (square(-1.3494295 - cos(wtd_gmean_ElectronAffinity)) - wtd_gmean_ElectronAffinity))) + 0.63128746)"
15,159.63739,"square((square(abs(cos(wtd_gmean_ElectronAffinity)) - -1.3494295) - wtd_gmean_ElectronAffinity) + (range_atomic_mass + (wtd_mean_ThermalConductivity + 0.63128746)))"
16,151.90007,"square((square(cos((wtd_gmean_ElectronAffinity * 3.6715162) * wtd_gmean_FusionHeat) - -1.3878837) + range_atomic_mass) - wtd_gmean_ElectronAffinity) + range_ElectronAffinity"
17,151.8956,"abs(range_ElectronAffinity + square(square(cos(wtd_gmean_ElectronAffinity * (3.6715162 * wtd_gmean_FusionHeat)) - -1.3878837) + (range_atomic_mass - wtd_gmean_ElectronAffinity)))"
18,150.9523,"(square(square(cos((wtd_gmean_ElectronAffinity * 3.6715162) * wtd_gmean_FusionHeat) - -1.3878837) + (range_atomic_mass - wtd_gmean_ElectronAffinity)) + range_ElectronAffinity) + 1.0522864"
