Complexity,Loss,Equation
1,626.9422,"71.21306"
3,431.44498,"wtd_mean_Valence * -85.08003"
5,402.26614,"(std_ThermalConductivity - wtd_std_Valence) * 43.660038"
6,373.10556,"(cube(wtd_gmean_Valence) / -0.00817851) + 13.148327"
7,363.4274,"(wtd_std_Valence / -0.023857486) + (45.417397 * range_atomic_radius)"
8,362.6387,"(wtd_std_Valence / -0.026613535) + abs(range_atomic_radius * 48.92375)"
9,347.81155,"(((range_atomic_radius + std_ThermalConductivity) - range_fie) * -78.5597) * wtd_mean_Valence"
11,343.5506,"(wtd_std_Valence / -0.023857486) + (range_atomic_radius * (44.021183 + abs(inv(entropy_Density))))"
12,342.07236,"square(((range_atomic_radius - (wtd_mean_Valence + -0.66338015)) * (-4.2570305 - std_ThermalConductivity)) + 4.247171)"
13,340.48376,"((wtd_std_Valence / -0.023857486) + (range_atomic_radius * (abs(inv(entropy_Density)) + 44.021183))) - entropy_Density"
14,336.8304,"square(range_atomic_radius + (((range_atomic_radius - (wtd_mean_Valence + -0.78207046)) * (-4.7121882 - std_ThermalConductivity)) + 4.9531198))"
15,324.67593,"abs(square(((range_atomic_radius - (wtd_mean_Valence + -0.30734324)) * (-1.2519011 - std_ThermalConductivity)) + (wtd_mean_Valence * 4.7413855)))"
17,320.21347,"square(((range_atomic_radius - (wtd_mean_Valence + -0.440527)) * (-3.3467777 - std_ThermalConductivity)) + (exp(wtd_entropy_ElectronAffinity + range_atomic_radius) * 0.17215452))"
18,319.73257,"square(((range_atomic_radius - (wtd_mean_Valence + -0.66338015)) * (-4.2570305 - std_ThermalConductivity)) + ((range_atomic_radius + (wtd_entropy_ElectronAffinity * 0.5151073)) + 2.8694139))"
21,319.6007,"square(((range_atomic_radius + (wtd_entropy_ElectronAffinity * exp(-0.66338015))) + 2.8694139) + ((range_atomic_radius - (wtd_mean_Valence + -0.66338015)) * (-4.2570305 - std_ThermalConductivity))) - wtd_entropy_ElectronAffinity"
23,305.25964,"square((range_atomic_radius / std_ThermalConductivity) + ((exp(wtd_entropy_Density) + (((range_atomic_radius - wtd_mean_Valence) * -4.6533318) - 0.8427363)) + (wtd_std_Valence + -0.9502187))) + (range_atomic_radius ^ std_ThermalConductivity)"
24,297.88458,"square((range_atomic_radius / std_ThermalConductivity) + (exp(wtd_entropy_Density) + ((((range_atomic_radius - wtd_mean_Valence) * -4.6533318) - exp(std_FusionHeat)) + (wtd_std_Valence + -0.9502187)))) + (range_atomic_radius ^ std_ThermalConductivity)"
29,296.80234,"(square(exp(wtd_entropy_Density) + ((((-4.6533318 * (range_atomic_radius - wtd_mean_Valence)) - exp(std_FusionHeat)) + (-0.9502187 + wtd_std_Valence)) + (range_atomic_radius / std_ThermalConductivity))) + (range_atomic_radius - (std_ThermalConductivity - abs(-1.8886882)))) - entropy_FusionHeat"
