Complexity,Loss,Equation
1,939.19025,"67.896706"
3,922.38367,"std_atomic_mass + 67.33251"
4,724.66846,"exp(wtd_mean_Valence / -0.21037331)"
5,709.04486,"(std_Density + 1.779647) * 34.754482"
7,634.23846,"41.76532 * ((wtd_std_ThermalConductivity + std_Density) + 0.5549441)"
8,632.1759,"square((std_Density + (mean_ThermalConductivity + 4.076132)) * 1.7160689)"
9,619.60645,"exp(square(wtd_gmean_Valence) + 2.7406433) * (std_Density + 2.0458376)"
11,572.646,"exp(square(wtd_gmean_Valence) + 2.9687243) * (range_fie + (std_Density + wtd_std_ThermalConductivity))"
12,570.487,"square((exp(square(wtd_gmean_Valence) + -0.17289023) * (std_atomic_mass + 3.9724503)) - wtd_mean_Density)"
14,560.6187,"abs((49.38198 * abs(square(log(std_Density + inv(1.1639898 + wtd_gmean_Valence))))) - -1.1400827)"
15,557.0127,"(49.38198 * square(log(std_Density + inv(abs(1.1639898 + wtd_gmean_Valence))))) + square(cube(wtd_std_ThermalConductivity))"
16,556.0191,"((49.38198 * square(log(std_Density + abs(inv(1.1639898 + wtd_gmean_Valence))))) + cube(wtd_std_ThermalConductivity)) - -1.1400827"
17,554.6703,"((square(log(std_Density + abs(inv(wtd_gmean_Valence + 1.1639898)))) * 49.38198) + cube(square(wtd_std_ThermalConductivity))) - -1.5848217"
19,551.7013,"((square(log(abs(std_Density + inv(1.1639898 + wtd_gmean_Valence)))) * 49.38198) + square(cube(wtd_std_ThermalConductivity) - -1.1400827)) - std_Density"
20,550.37085,"log(square(std_Density + inv(wtd_gmean_Valence + 1.0074131))) * (exp(((cos(std_atomic_mass) + 3.5756457) / -2.068576) - -4.975563) + 0.8532655)"
24,535.62775,"log(square(inv(wtd_gmean_Valence + 1.0074131) + std_Density)) * ((exp(((3.5756457 + cos(std_atomic_mass)) / -2.068576) - -4.975563) + mean_ThermalConductivity) + square(sqrt(0.013528766)))"
26,534.30975,"(log(square(inv(wtd_gmean_Valence + 1.0074131) + std_Density)) * (exp(((3.5756457 + cos(std_atomic_mass)) / -2.068576) - -4.975563) + mean_ThermalConductivity)) + square(std_Density + sqrt(0.013528766))"
28,507.38702,"(exp(((cos(std_atomic_mass) + 4.400167) / -2.7755313) - -4.363217) + square(mean_ThermalConductivity + (sqrt(range_fie + -0.5731927) + std_Density))) * log(square(inv(wtd_gmean_Valence + 0.9213803) + std_Density))"
