Complexity,Loss,Equation
1,9.498668,"3.2019603"
2,8.304637,"square(wtd_gmean_atomic_radius)"
4,7.927744,"square(wtd_mean_atomic_radius) - -0.6035338"
6,7.1670704,"wtd_gmean_atomic_radius * exp(neg(sin(wtd_gmean_fie)))"
7,6.810376,"exp(wtd_gmean_atomic_radius * neg(sin(tan(wtd_gmean_fie))))"
10,6.072615,"exp(wtd_gmean_atomic_radius * (sin(wtd_gmean_fie * wtd_mean_fie) / neg(wtd_gmean_fie)))"
14,6.0721173,"(wtd_gmean_fie * -0.16255608) + exp(wtd_gmean_atomic_radius * neg(sin(wtd_gmean_fie * wtd_mean_fie) / wtd_gmean_fie))"
15,6.0514936,"(wtd_gmean_atomic_radius - wtd_gmean_atomic_radius) + exp((wtd_gmean_atomic_radius * sin(wtd_gmean_fie * wtd_mean_fie)) / abs(neg(wtd_gmean_fie)))"
17,6.0466723,"exp((wtd_gmean_atomic_radius - wtd_gmean_atomic_radius) + (((wtd_gmean_atomic_radius + 0.02262874) * sin(wtd_gmean_fie * wtd_mean_fie)) / abs(neg(wtd_gmean_fie))))"
18,6.002308,"(exp(neg(sin(wtd_mean_fie * wtd_gmean_fie) / wtd_gmean_fie) * wtd_gmean_atomic_radius) + (cos(wtd_std_ThermalConductivity) * 1.339133)) + sin(wtd_gmean_fie)"
21,5.921067,"((wtd_gmean_fie * -0.17316078) + sin(wtd_gmean_atomic_radius * (wtd_gmean_atomic_radius / wtd_gmean_fie))) + exp((wtd_gmean_atomic_radius * sin(wtd_gmean_fie * wtd_mean_fie)) / neg(wtd_gmean_fie))"
26,5.8788147,"(wtd_gmean_fie * -0.17316078) + (sin(wtd_gmean_atomic_radius * ((wtd_gmean_Valence * sin(wtd_mean_fie * wtd_gmean_fie)) / wtd_gmean_fie)) + exp(neg((wtd_gmean_atomic_radius * sin(wtd_gmean_fie * wtd_mean_fie)) / wtd_gmean_fie)))"
29,5.7632747,"((wtd_gmean_fie * -0.17316078) + sin(wtd_gmean_atomic_radius * ((wtd_gmean_atomic_radius * (exp(wtd_gmean_fie * wtd_mean_fie) / neg(wtd_gmean_fie))) / wtd_gmean_fie))) + exp(neg((wtd_gmean_atomic_radius * sin(wtd_gmean_fie * wtd_mean_fie)) / wtd_gmean_fie))"
