Complexity,Loss,Equation
1,41.929054,"8.545893"
3,37.60799,"wtd_entropy_ThermalConductivity + 8.11366"
4,31.542665,"square(range_FusionHeat + 3.1846337)"
5,28.58232,"21.291836 - (wtd_std_atomic_radius * -8.443069)"
6,27.979202,"square(range_FusionHeat + 3.1846337) + wtd_entropy_ThermalConductivity"
7,25.102552,"exp(square(tan(cos(range_FusionHeat)))) + 2.0366104"
8,23.528446,"exp(square(tan(cos(range_FusionHeat)))) + exp(wtd_entropy_ThermalConductivity)"
9,22.377771,"exp(square(tan(cos(range_FusionHeat)))) + (wtd_entropy_ThermalConductivity - -2.0026612)"
11,20.32645,"sqrt(abs(wtd_entropy_ThermalConductivity - -1.1637585)) * exp(square(tan(cos(range_FusionHeat))))"
12,19.346128,"sqrt(abs(wtd_entropy_ThermalConductivity - -1.4879712)) * exp(square(abs(tan(cos(range_FusionHeat)))))"
13,18.67375,"(sqrt(abs(wtd_entropy_ThermalConductivity - -1.1637585)) * exp(square(tan(cos(range_FusionHeat))))) - -1.3178535"
14,18.652014,"(sqrt(abs(wtd_entropy_ThermalConductivity - -1.3326838)) * exp(square(tan(abs(cos(range_FusionHeat)))))) + 1.1448138"
15,17.847433,"square(range_ThermalConductivity) + (sqrt(abs(wtd_entropy_ThermalConductivity - -1.318533)) * exp(square(tan(abs(cos(range_FusionHeat))))))"
16,17.736792,"square(range_ThermalConductivity) + (sqrt(abs(wtd_entropy_ThermalConductivity - -1.318533)) * exp(square(tan(cos(range_FusionHeat)) + -0.03662599)))"
17,17.32877,"(wtd_gmean_ElectronAffinity + exp(square(range_FusionHeat))) + (sqrt(abs(wtd_entropy_ThermalConductivity - -1.2934238)) * exp(square(tan(cos(range_FusionHeat)))))"
20,17.024046,"(exp(cos(square(tan(cos(range_FusionHeat))))) + (sqrt(abs(wtd_entropy_ThermalConductivity - -1.297316)) * exp(square(tan(cos(range_FusionHeat)))))) + wtd_gmean_ElectronAffinity"
25,16.827795,"(cos(wtd_gmean_ElectronAffinity) + (exp(cos(square(tan(abs(cos(range_FusionHeat)))))) + (sqrt(abs(wtd_entropy_ThermalConductivity - -1.2934238)) * exp(square(tan(cos(abs(range_FusionHeat)))))))) - 1.0422242"
26,16.675074,"cos(wtd_gmean_ElectronAffinity) + ((exp(cos(square(tan(cos(abs(range_FusionHeat)))))) + (sqrt(abs(wtd_entropy_ThermalConductivity - -1.2934238)) * exp(square(tan(cos(abs(range_FusionHeat))))))) - cos(range_FusionHeat))"
