Complexity,Loss,Equation
1,894.1609,"68.49298"
3,879.1234,"std_atomic_mass + 69.02763"
4,831.06506,"cube(std_atomic_mass + 3.361876)"
5,688.9377,"(std_Density + 2.2510817) / 0.035424765"
7,682.409,"((std_Density + 2.2510817) / 0.035424765) + wtd_mean_ThermalConductivity"
8,669.2566,"((std_Density + 2.2510817) / 0.036323126) + inv(entropy_ElectronAffinity)"
9,618.944,"((mean_ThermalConductivity + (std_Density + 1.6641121)) / 0.045874245) + 15.484935"
11,608.49176,"abs(((mean_ThermalConductivity + (std_Density + 2.5039659)) / 0.04929637) + inv(entropy_ElectronAffinity))"
15,605.7695,"abs(square((wtd_range_Density - ((wtd_mean_ThermalConductivity - ((wtd_range_Density + -1.3584919) - wtd_std_Density)) + -0.62640566)) * -3.624187))"
16,604.86865,"square((wtd_range_Density - ((wtd_mean_ThermalConductivity - ((wtd_range_Density + -1.3584919) - wtd_std_Density)) + -0.62640566)) * -3.624187) - 1.19625"
18,603.9584,"square((wtd_range_Density - ((wtd_mean_ThermalConductivity - (wtd_range_Density + (-1.3584919 - wtd_std_Density))) + -0.62640566)) * -3.624187) - (wtd_std_Density - wtd_mean_Valence)"
19,598.4437,"(square((sin(wtd_range_Density) - ((wtd_mean_ThermalConductivity - ((wtd_range_Density + -1.3584919) - wtd_std_Density)) + -0.62640566)) * -3.624187) - wtd_std_Density) - wtd_mean_Valence"
20,574.8659,"(square(std_atomic_radius + ((wtd_range_Density - ((wtd_mean_ThermalConductivity - ((wtd_range_Density + -1.3584919) - wtd_std_Density)) + -0.62640566)) * -3.624187)) - 8.838501) - wtd_std_Density"
25,562.4768,"abs(square((((wtd_range_Density - ((wtd_mean_ThermalConductivity - ((-1.5870728 - wtd_std_Density) + -0.9388385)) + 1.1436032)) * -4.1951685) - 7.8753943) + (((wtd_mean_Density * wtd_gmean_Valence) - 3.264439) / range_fie)))"
