Complexity,Loss,Equation
1,301.3341,"18.44722"
3,290.19727,"19.617249 - wtd_gmean_ElectronAffinity"
4,269.0302,"square(4.1767974 - wtd_gmean_ElectronAffinity)"
5,260.67188,"(wtd_gmean_ElectronAffinity * -5.5065303) + 18.592966"
6,260.67142,"neg((wtd_gmean_ElectronAffinity * 5.5068955) + -18.592648)"
7,247.23318,"((wtd_entropy_Valence - wtd_gmean_ElectronAffinity) * 4.8082643) + 15.801398"
8,247.23235,"abs(((wtd_entropy_Valence - wtd_gmean_ElectronAffinity) * 4.8082643) + 15.801398)"
9,244.45903,"(((2.5665581 ^ range_ThermalConductivity) - wtd_gmean_ElectronAffinity) * 4.8082643) + 15.801398"
10,244.16808,"(((wtd_entropy_Valence - wtd_gmean_ElectronAffinity) * 4.8082643) + abs(15.801398)) + std_atomic_mass"
11,242.94731,"(cube(wtd_entropy_Valence + 2.9494653) / (square(wtd_range_ThermalConductivity) + 1.7088604)) - wtd_gmean_ElectronAffinity"
12,239.0489,"(cube(wtd_entropy_Valence + 5.695334) / 13.312502) - (wtd_gmean_ElectronAffinity * (range_ElectronAffinity + 1.4015964))"
14,239.03154,"(cube(wtd_entropy_Valence + 3.8054123) / (wtd_entropy_Valence + 3.6445484)) - (wtd_gmean_ElectronAffinity * (range_ElectronAffinity + 2.2809844))"
15,236.37305,"(cube(wtd_entropy_Valence + 5.5423956) / 12.318701) - (wtd_gmean_ElectronAffinity * abs((range_ElectronAffinity + 0.3203902) + range_atomic_mass))"
16,234.25888,"(cube(wtd_entropy_Valence + 2.9494653) / (wtd_entropy_Valence + 1.7088604)) - ((wtd_gmean_ElectronAffinity * (range_ElectronAffinity + 1.7088604)) - range_ThermalConductivity)"
17,228.94719,"(cube(wtd_entropy_Valence + 2.9494653) / (wtd_entropy_Valence + 1.7088604)) - ((wtd_gmean_ElectronAffinity * cube(range_atomic_mass + 0.57937974)) - range_ElectronAffinity)"
18,228.45325,"abs(((cube(wtd_entropy_Valence + 2.9494653) / (wtd_entropy_Valence + 1.7088604)) - (wtd_gmean_ElectronAffinity * cube(range_atomic_mass + 0.57937974))) + range_ElectronAffinity)"
19,227.1783,"((cube(wtd_entropy_Valence + 2.9494653) / (wtd_entropy_Valence + 1.7088604)) - ((wtd_gmean_ElectronAffinity * cube(range_atomic_mass + 0.57937974)) - range_ElectronAffinity)) + range_ThermalConductivity"
20,224.14084,"abs(((cube(wtd_entropy_Valence + 2.9494653) / (wtd_entropy_Valence + 1.7088604)) - ((wtd_gmean_ElectronAffinity * cube(range_atomic_mass + 0.57937974)) - range_atomic_mass)) + range_ElectronAffinity)"
22,222.5832,"abs((cube(wtd_entropy_Valence + 2.9494653) / (wtd_entropy_Valence + 1.7088604)) - ((wtd_gmean_ElectronAffinity * cube(range_atomic_mass + 0.57937974)) - ((range_atomic_mass + range_ElectronAffinity) * 1.7088604)))"
23,222.12054,"(cube(wtd_entropy_Valence + 2.9494653) / (wtd_entropy_Valence + 1.7088604)) - ((wtd_gmean_ElectronAffinity * cube(range_atomic_mass + 0.57937974)) - (range_atomic_mass + (range_atomic_mass + (range_ElectronAffinity * 1.7088604))))"
24,221.7033,"abs((cube(wtd_entropy_Valence + 2.9494653) / (wtd_entropy_Valence + 1.7088604)) - ((wtd_gmean_ElectronAffinity * cube(range_atomic_mass + 0.57937974)) - ((range_atomic_mass + range_ElectronAffinity) * 1.7088604))) + -0.3872987"
