Complexity,Loss,Equation
1,450.24017,"17.176102"
2,417.78006,"square(range_FusionHeat)"
4,154.78723,"exp(wtd_std_ThermalConductivity + 3.2508407)"
6,148.96532,"exp((wtd_std_ThermalConductivity + 2.9258845) - wtd_range_FusionHeat)"
7,131.45409,"exp(wtd_std_ThermalConductivity + (2.399685 + sin(entropy_ThermalConductivity)))"
8,124.30299,"exp(wtd_std_ThermalConductivity + (1.7987281 + (0.5841287 ^ wtd_mean_Valence)))"
9,122.064766,"log(exp(cube((wtd_std_ThermalConductivity + 2.9258845) + sin(wtd_std_Density))))"
11,121.40814,"log(exp(cube((wtd_std_ThermalConductivity + 2.9483507) + sin(wtd_std_Density))) + wtd_std_Density)"
12,114.12609,"abs(exp(log(cube(wtd_std_ThermalConductivity + 2.9258845)) + sin(wtd_std_Density)) + wtd_range_ThermalConductivity)"
17,106.306404,"square(range_atomic_mass - (wtd_mean_FusionHeat - ((square((wtd_std_ThermalConductivity * (mean_Valence * -0.65199924)) + range_ThermalConductivity) / 0.23651487) + 0.6652923)))"
19,97.674255,"mean_FusionHeat + square(range_atomic_mass - (wtd_mean_FusionHeat - ((square(((mean_Valence * wtd_std_ThermalConductivity) * -0.65199924) + range_ThermalConductivity) / 0.23651487) + 0.6652923)))"
20,97.65219,"wtd_mean_FusionHeat + square(abs(range_atomic_mass - (wtd_mean_FusionHeat - ((square((wtd_std_ThermalConductivity * (mean_Valence * -0.65199924)) + range_ThermalConductivity) / 0.23651487) + 0.6652923))))"
22,87.88924,"wtd_mean_FusionHeat + (abs(square(range_atomic_mass - (wtd_mean_FusionHeat - ((square(range_ThermalConductivity + (wtd_std_ThermalConductivity * (wtd_gmean_Valence * -0.65199924))) / 0.23651487) + wtd_std_Density)))) + 0.84144413)"
28,87.34496,"(wtd_mean_FusionHeat + (abs(square(range_atomic_mass - (wtd_mean_FusionHeat - ((square(range_ThermalConductivity + (wtd_std_ThermalConductivity * (wtd_gmean_Valence * -0.65199924))) / 0.23651487) + wtd_std_Density)))) - (wtd_std_ThermalConductivity * (wtd_gmean_Valence * -0.65199924)))) + 0.84144413"
