Complexity,Loss,Equation
1,10.190784,"3.2611098"
2,9.104302,"square(wtd_gmean_atomic_radius)"
3,9.064628,"wtd_gmean_atomic_radius * 2.108322"
4,8.464461,"square(wtd_mean_atomic_radius) - wtd_mean_fie"
5,8.310187,"abs(square(wtd_mean_atomic_radius) - wtd_gmean_fie)"
7,7.5074058,"abs(square(wtd_mean_atomic_radius) + wtd_std_atomic_mass) + 1.0607879"
9,7.100302,"abs(cos(wtd_gmean_atomic_radius - wtd_gmean_fie) * (wtd_gmean_atomic_radius * -2.8777623))"
10,7.1003017,"abs((wtd_gmean_atomic_radius * cos(wtd_gmean_atomic_radius - wtd_gmean_fie)) * neg(-2.8777623))"
11,7.0197067,"abs((wtd_gmean_atomic_radius * (cos(wtd_gmean_atomic_radius - wtd_gmean_fie) * 3.1771436)) - -0.46662575)"
13,7.0065293,"abs(sqrt(square(1.7190316 - (wtd_gmean_atomic_radius * -1.8225278))) * cos(wtd_gmean_fie - wtd_gmean_atomic_radius))"
14,6.954176,"sqrt(square(square(cos(wtd_gmean_atomic_radius - wtd_gmean_fie) * abs(-1.9096184)) + wtd_mean_atomic_radius)) + wtd_std_atomic_mass"
16,6.5875416,"abs((cos(wtd_gmean_atomic_radius - wtd_gmean_fie) * (-1.9834003 - (0.4087335 ^ cos(-1.7104261 / range_Density)))) * wtd_gmean_atomic_radius)"
17,6.4964237,"abs(cos(wtd_gmean_atomic_radius - wtd_gmean_fie) * ((-1.9834003 - (0.4087335 ^ cos(-1.7104261 / tan(range_Density)))) * wtd_gmean_atomic_radius))"
18,6.436526,"abs((cos(wtd_gmean_atomic_radius - wtd_gmean_fie) / 1.0742577) * (wtd_gmean_atomic_radius * (-1.9834003 - (0.4087335 ^ cos(-1.7104261 / range_Density)))))"
19,6.3453937,"abs(cos(wtd_gmean_fie - wtd_gmean_atomic_radius) * ((-1.9834003 - (0.4087335 ^ cos((1.393756 ^ wtd_std_Density) / abs(range_Density)))) * wtd_gmean_atomic_radius))"
25,6.25065,"abs(cos(wtd_gmean_fie - (wtd_gmean_atomic_radius - cos(0.5337268 ^ (wtd_mean_atomic_radius / -2.5628972)))) * (((0.4087335 ^ cos((1.393756 ^ wtd_std_Density) / range_Density)) - -1.9834003) * wtd_gmean_atomic_radius))"
26,6.2506495,"abs((cos(wtd_gmean_fie - (wtd_gmean_atomic_radius - cos(0.5337268 ^ (wtd_mean_atomic_radius / -2.5628972)))) * (-1.9834003 - (0.4087335 ^ cos((1.393756 ^ wtd_std_Density) / abs(range_Density))))) * wtd_gmean_atomic_radius)"
