Complexity,Loss,Equation
1,1501.9949,"87.04494"
3,632.19684,"range_atomic_radius * 115.20887"
5,629.98676,"(range_atomic_radius * 116.51489) + wtd_mean_atomic_radius"
6,572.1648,"(range_atomic_radius / 0.0107878195) / cos(wtd_gmean_ElectronAffinity)"
7,553.44696,"abs((range_atomic_radius / 0.011350637) / cos(wtd_std_ElectronAffinity))"
12,541.94556,"range_atomic_radius * exp(sqrt(abs((wtd_gmean_ElectronAffinity + -3.4083114) / -0.19613244) + 2.4972305))"
13,529.2657,"(20.261904 - inv(wtd_mean_atomic_radius)) + cube(abs(sqrt(range_atomic_radius * 16.01331) - wtd_gmean_ElectronAffinity))"
14,498.4566,"range_atomic_radius * exp(sqrt((2.4043283 ^ square(gmean_atomic_mass)) + ((wtd_gmean_ElectronAffinity + -4.010948) / -0.2165346)))"
15,479.3808,"exp(sqrt(exp(exp(wtd_gmean_ElectronAffinity) ^ std_atomic_mass) + ((wtd_gmean_ElectronAffinity + -3.01716) / -0.1751791))) * range_atomic_radius"
18,474.92123,"abs((exp(sqrt(exp(exp(wtd_gmean_ElectronAffinity) ^ std_atomic_mass) + ((wtd_gmean_ElectronAffinity + -3.01716) / -0.1751791))) * range_atomic_radius) + 1.6505814)"
21,472.8291,"((exp(sqrt(exp(exp(wtd_gmean_ElectronAffinity) ^ std_atomic_mass) + ((wtd_gmean_ElectronAffinity + -3.01716) / -0.1751791))) * range_atomic_radius) - wtd_gmean_ElectronAffinity) - sin(neg(wtd_entropy_atomic_radius))"
22,471.38037,"(((wtd_mean_ThermalConductivity + exp(sqrt(exp(exp(wtd_gmean_ElectronAffinity) ^ std_atomic_mass) + ((wtd_gmean_ElectronAffinity + -3.01716) / -0.1751791)))) * range_atomic_radius) - wtd_gmean_ElectronAffinity) - neg(wtd_entropy_atomic_radius)"
23,470.4434,"(wtd_range_atomic_radius / -0.1178775) + ((exp(sqrt(exp(exp(wtd_gmean_ElectronAffinity) ^ std_atomic_mass) + ((wtd_gmean_ElectronAffinity + -3.01716) / -0.1751791))) * range_atomic_radius) - (wtd_gmean_ElectronAffinity - wtd_mean_atomic_radius))"
24,453.66376,"(range_atomic_radius * exp(sqrt((2.4043283 ^ square(gmean_atomic_mass)) + ((wtd_gmean_ElectronAffinity + -4.010948) / -0.2165346)))) + (0.62758803 - (((gmean_atomic_mass * -0.031578194) / wtd_gmean_ElectronAffinity) - wtd_std_fie))"
25,449.25677,"(wtd_range_atomic_radius / -0.07890964) + (((exp(sqrt(exp(exp(wtd_gmean_ElectronAffinity) ^ std_atomic_mass) + ((wtd_gmean_ElectronAffinity + -3.0278127) / -0.18163086))) * range_atomic_radius) - 0.0024655748) - (wtd_mean_ThermalConductivity * 1.5270501))"
