Complexity,Loss,Equation
1,76.9967,"22.762455"
3,54.827293,"mean_FusionHeat * -35.463055"
5,44.716434,"log(square(inv(cube(gmean_atomic_mass))))"
6,44.70858,"log(cube(inv(square(tan(gmean_atomic_mass)))))"
7,42.302746,"log(square(inv(cube(gmean_atomic_mass)))) + -1.4454991"
8,29.604597,"exp(inv(cos(-1.3053453 - entropy_FusionHeat)) - -5.6853037)"
9,27.979107,"square(square(inv(exp(mean_FusionHeat / wtd_gmean_ElectronAffinity)))) / 0.768343"
11,27.970331,"square(exp(square(mean_FusionHeat / wtd_gmean_ElectronAffinity)) / (wtd_mean_FusionHeat / exp(entropy_FusionHeat)))"
12,27.588636,"square(square(inv(exp(mean_FusionHeat / wtd_gmean_ElectronAffinity))) / cos(0.5485939 - wtd_entropy_atomic_mass))"
13,26.534355,"square(square(inv(exp(mean_FusionHeat / wtd_gmean_ElectronAffinity))) / cos(0.5485939 - square(wtd_entropy_atomic_mass)))"
15,26.533854,"square(square(inv(exp(mean_FusionHeat / wtd_gmean_ElectronAffinity)))) / cos(exp(mean_FusionHeat / wtd_gmean_ElectronAffinity) + 0.24309434)"
17,25.842701,"square(inv(square(exp(mean_FusionHeat / wtd_gmean_ElectronAffinity))) / cos(cube(square(wtd_range_ElectronAffinity)) + sin(0.3449772 - wtd_entropy_Valence)))"
18,25.133926,"square(square(inv(exp(mean_FusionHeat / wtd_gmean_ElectronAffinity)))) / (cos(sin(exp(0.034699775 - wtd_entropy_Valence))) + cube(square(mean_FusionHeat)))"
