Complexity,Loss,Equation
1,493.46808,"70.242874"
3,155.88013,"14.190515 / wtd_std_ElectronAffinity"
4,48.383022,"2.6938422 / square(wtd_std_ElectronAffinity)"
5,34.71114,"(wtd_entropy_Valence * -274.58286) - -202.03299"
7,25.200262,"193.13556 - ((wtd_entropy_Valence * gmean_ThermalConductivity) * -471.06964)"
9,25.200253,"193.13556 - (((wtd_entropy_Valence * gmean_ThermalConductivity) * -291.6331) / 0.619087)"
11,25.182278,"194.49858 - ((wtd_entropy_Valence * ((gmean_ThermalConductivity * -291.4605) / 0.6166242)) + 1.0776149)"
12,24.891983,"abs((192.93788 - ((-291.6331 / 0.619087) * (wtd_entropy_Valence * gmean_ThermalConductivity))) + std_atomic_mass)"
13,24.56521,"191.85124 - ((wtd_entropy_Valence * ((gmean_ThermalConductivity * -472.05737) + (wtd_std_Density / -0.06478283))) - gmean_ThermalConductivity)"
15,23.983168,"195.3995 - ((wtd_entropy_Valence * (gmean_ThermalConductivity * -475.65576)) + cos(abs((-5.2762656 / wtd_entropy_Valence) + 7.9139457)))"
16,23.678394,"201.1879 - ((wtd_entropy_Valence * ((gmean_ThermalConductivity * -292.0594) / 0.58076984)) + cos((8.093514 / wtd_entropy_Valence) - 15.16847))"
17,22.711878,"195.26994 - ((wtd_entropy_Valence * ((gmean_ThermalConductivity * -246.56924) / 0.51269484)) + cos((6.9999695 / log(wtd_range_ThermalConductivity)) + 12.929497))"
18,21.5015,"194.49858 - ((wtd_entropy_Valence * ((gmean_ThermalConductivity * -291.4605) / 0.6166242)) + cos(wtd_entropy_Valence * ((gmean_ThermalConductivity * -291.4605) / 0.6166242)))"
